Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Geometri
0423/2025;Forvik 7;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;1816;Vevelstad;18;Nordland - Nordlánnda;POLYGON ((12.544570771167 65.6881156905261,12.6024212771559 65.6890364993866,12.6055206386342 65.6555106094576,12.5477447355695 65.6545912293526,12.544570771167 65.6881156905261))
0424/2025;Forvik 8;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;1816;Vevelstad;18;Nordland - Nordlánnda;POLYGON ((12.6019149276868 65.6945046045133,12.6408551338859 65.6951120538311,12.6439138451811 65.6614956136457,12.6050240094879 65.6608891095965,12.6019149276868 65.6945046045133))
0425/2025;Grunnfjord 1;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.3788085598793 70.0224624326115,19.4616525065515 70.0231966222623,19.4637405241892 69.9948704661963,19.3810089058574 69.9941374022942,19.3788085598793 70.0224624326115))
0426/2025;Grunnfjord 10;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.3557290295226 69.9192746570216,19.4381641137922 69.9200191847555,19.440272197085 69.8916930108416,19.3579482604234 69.8909496198102,19.3557290295226 69.9192746570216))
0427/2025;Grunnfjord 11;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.3579482604234 69.8909496198102,19.4275063713812 69.891580241633,19.430013887086 69.8580550087027,19.3605665756245 69.8574255247726,19.3579482604234 69.8909496198102))
0428/2025;Grunnfjord 12;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.4360499431936 69.9483452389853,19.488297775816 69.9487973719215,19.491528620109 69.9039765180101,19.439392343991 69.9035254777906,19.4360499431936 69.9483452389853))
0429/2025;Grunnfjord 2;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.4616525065515 70.0231966222623,19.5445025122553 70.0238923213117,19.5464781759096 69.9955650984423,19.4637405241892 69.9948704661964,19.4616525065515 70.0231966222623))
0430/2025;Grunnfjord 3;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.3498552749219 69.9938513830066,19.4325845371715 69.9945989183245,19.4347087032737 69.9662730595571,19.3520914353041 69.9655266690696,19.3498552749219 69.9938513830066))
0431/2025;Grunnfjord 4;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.4325845371715 69.9945989183245,19.5153199548785 69.9953080238138,19.5173321006876 69.9669810789945,19.4347087032737 69.9662730595571,19.4325845371715 69.9945989183245))
0432/2025;Grunnfjord 5;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.5153199548785 69.9953080238138,19.5980612038492 69.9959786947018,19.5999613047196 69.9676507226284,19.5173321006876 69.9669810789945,19.5153199548785 69.9953080238138))
0433/2025;Grunnfjord 7;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.3520914353041 69.9655266690696,19.4828178048867 69.9666899908505,19.4841178610143 69.9487617664049,19.3535033908502 69.9475995714725,19.3520914353041 69.9655266690696))
0434/2025;Grunnfjord 8;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.4828178048867 69.9666899908505,19.613559049562 69.967757239744,19.6147471664979 69.9498279814004,19.4841178610143 69.9487617664049,19.4828178048867 69.9666899908505))
0435/2025;Grunnfjord 9;UNDERSOEKELSESRETT;EDELWEISS MINERAL EXPLORATION AS;932213680;Godkjent;2025-01-13;2025-02-06;Bly,Gull,Kobber,Sink,Sølv;5534;Karlsøy;55;Troms - Romsa - Tromssa;POLYGON ((19.3535033908502 69.9475995714725,19.4360499431936 69.9483452389853,19.4381641137922 69.9200191847555,19.3557290295226 69.9192746570216,19.3535033908502 69.9475995714725))
