Rettighetsnummer;Rettighetsnavn;Rettighetstype;Rettighetshaver;Organisasjonsnummer;Status;Mottatt;Godkjent;Mineral;Kommunenummer;Kommunenavn;Fylkesnummer;Fylkesnavn;Geometri
0011/1981-TB;Bergmester 5;UTVINNINGSRETT;Staten;974760282;Godkjent;1981-03-30;1981-09-23;Jern,Vanadium;1557,1506;Gjemnes,Molde;15;Møre og Romsdal;POLYGON ((8.07200388777465 62.8394968948066,8.07590627637884 62.8416589676919,8.0935463489811 62.8442092220318,8.09494208251876 62.8420587285935,8.07200388777465 62.8394968948066))
0001/1982-TB;Hersjø 1;UTVINNINGSRETT;Hessjøgruva AS;996601536;Godkjent;1982-05-28;1982-09-07;Kobber,Py,Sink;5026;Holtålen;50;Trøndelag - Trööndelage;POLYGON ((11.104453184475 62.6815912285269,11.1259832005042 62.6856581797543,11.1278096984097 62.6835892855153,11.1062809409298 62.6795226205579,11.104453184475 62.6815912285269))
0002/1982-TB;Hersjø 2;UTVINNINGSRETT;Hessjøgruva AS;996601536;Godkjent;1982-05-28;1982-09-07;Kobber,Py,Sink;5026;Holtålen;50;Trøndelag - Trööndelage;POLYGON ((11.1062809409298 62.6795226205579,11.1278096984097 62.6835892855153,11.1296359415998 62.6815203734179,11.1081084446023 62.6774539963723,11.1062809409298 62.6795226205579))
0003/1982-TB;Hersjø 3;UTVINNINGSRETT;Hessjøgruva AS;996601536;Godkjent;1982-05-28;1982-09-07;Kobber,Py,Sink;5026;Holtålen;50;Trøndelag - Trööndelage;POLYGON ((11.1134897576838 62.6784709055023,11.1296359415998 62.6815203734179,11.1319412335026 62.6788219832678,11.115796288186 62.6757727807666,11.1134897576838 62.6784709055023))
0001/1986-NB;Ørtfjell 1;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.6724953757499 66.4198129300522,14.6926424739253 66.4196243503144,14.6925108277409 66.4173831973552,14.6723655390365 66.417571757691,14.6724953757499 66.4198129300522))
0002/1986-NB;Ørtfjell 2;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.6748640241108 66.4220332762728,14.7017291049997 66.4217808409343,14.7015966278664 66.4195396972453,14.6747339591763 66.419792106038,14.6748640241108 66.4220332762728))
0003/1986-NB;Ørtfjell 3;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.6794720756643 66.4242326927001,14.7018616100107 66.4240219842867,14.7017291049997 66.4217808409343,14.6793415807912 66.4219915269287,14.6794720756643 66.4242326927001))
0004/1986-NB;Ørtfjell 4;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.6907721184433 66.4259206661684,14.701967624183 66.4258148954981,14.7018616100107 66.4240219842867,14.6906668978697 66.4241277425861,14.6907721184433 66.4259206661684))
0005/1986-NB;Ørtfjell 5;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.7020736667648 66.4276078096495,14.7110306417978 66.4275226061255,14.7106839822556 66.4216956591333,14.7017291049997 66.4217808409343,14.7020736667648 66.4276078096495))
0006/1986-NB;Ørtfjell 6;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.7109506265017 66.4261779263403,14.7299829366064 66.4259951654919,14.7297938875132 66.4228576084609,14.7107639637022 66.4230403394826,14.7109506265017 66.4261779263403))
0007/1986-NB;Ørtfjell 7;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.7300639743859 66.4273398322893,14.7490971677705 66.4271547240509,14.7489330633324 66.4244654152682,14.7299019088653 66.4246504983847,14.7300639743859 66.4273398322893))
0028/1986-NB;Vesteråli 3;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.4490586666984 66.4306979487695,14.4602573077212 66.4306095355336,14.4600354728996 66.4261268142278,14.4488388802713 66.4262151986801,14.4490586666984 66.4306979487695))
0029/1986-NB;Vesteråli 4;UTVINNINGSRETT;Rana Gruber ASA;953049724;Godkjent;1986-07-16;1986-09-08;Jern;1833;Rana;18;Nordland - Nordlánnda;POLYGON ((14.4602573077212 66.4306095355336,14.4736955241174 66.430502397461,14.4734712869646 66.4260196926069,14.4600354728996 66.4261268142278,14.4602573077212 66.4306095355336))
0005/1992-VB;Haugesundsgangen;UTVINNINGSRETT;Bømlo Gold Mining Comp. DA;975868826;Godkjent;1992-11-09;1993-08-26;Gull;4613;Bømlo;46;Vestland;POLYGON ((5.16728995688213 59.7107879633133,5.17101937438635 59.7108580232282,5.1713557489411 59.7082120479475,5.16762424761789 59.7082317533393,5.16728995688213 59.7107879633133))
0003/1992-ØB;Konnerudkollen 1;UTVINNINGSRETT;Nils Otto Larsen;;Godkjent;1996-02-26;1996-03-28;Aq,Bly,Kobber,Zu;3301;Drammen;33;Buskerud;POLYGON ((10.1237400145951 59.7359954807095,10.1274959071249 59.7347558653566,10.1203070952271 59.7291578187594,10.1165515684201 59.7303972326336,10.1237400145951 59.7359954807095))
0001/1997-VB;Engebøfjellet 1;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.41027047882739 61.4954914752946,5.41590251489841 61.4955179770272,5.41601968142529 61.489820153339,5.41038871056494 61.4897936772007,5.41027047882739 61.4954914752946))
0002/1997-VB;Engebøfjellet 2;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.41584973459405 61.4980753002474,5.42204549596177 61.4981041911233,5.42221007432106 61.4900286126268,5.4160159407436 61.4899997298003,5.41584973459405 61.4980753002474))
0003/1997-VB;Engebøfjellet 3;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.42214608898312 61.4931691234996,5.43209529604915 61.4932149328327,5.4321717509374 61.4894014490595,5.42221007432106 61.4900286126268,5.42214608898312 61.4931691234996))
0004/1997-VB;Engebøfjellet 4;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.42204549596177 61.4981041911233,5.43199630266283 61.4981500079492,5.43209529604915 61.4932149328327,5.42214608898312 61.4931691234996,5.42204549596177 61.4981041911233))
0005/1997-VB;Engebøfjellet 5;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.43199630266283 61.4981500079492,5.43556358871935 61.4981662595135,5.43575142796034 61.4887447236366,5.4321717509374 61.4894014490595,5.43199630266283 61.4981500079492))
0006/1997-VB;Engebøfjellet 6;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.43557343322708 61.4976727524129,5.44139365956837 61.4976990690401,5.44156465160895 61.4890402204854,5.43574606392928 61.4890139119702,5.43557343322708 61.4976727524129))
0007/1997-VB;Engebøfjellet 7;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.4413839078077 61.4981925762412,5.44757977291832 61.4982203165843,5.44773763429198 61.4901447124827,5.44154339955336 61.4901169739848,5.4413839078077 61.4981925762412))
0008/1997-VB;Engebøfjellet 8;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.44757977291832 61.4982203165843,5.45508997561241 61.4982535753766,5.45520950475966 61.4920622914576,5.44770082114333 61.4920290283404,5.44757977291832 61.4982203165843))
0009/1997-VB;Engebøfjellet 9;UTVINNINGSRETT;ENGEBØ RUTILE AND GARNET AS;990691606;Godkjent;1996-06-06;1997-11-12;Titan;4647;Sunnfjord;46;Vestland;POLYGON ((5.45508997561241 61.4982535753766,5.46541664494506 61.4982986567912,5.46550944552505 61.4934084530018,5.4551844014639 61.4933633638947,5.45508997561241 61.4982535753766))
0003/1996-ØB;Ringnes;UTVINNINGSRETT;World Wide Minerals AS;934178289;Godkjent;1996-07-05;1996-09-30;Sølv;3334;Flesberg;33;Buskerud;POLYGON ((9.50816773058039 59.7734507106193,9.5152862206001 59.7733899373,9.51514120572455 59.7690821956643,9.50802363827223 59.7691429723835,9.50816773058039 59.7734507106193))
0001/2004-ØB;Numeniåsen;UTVINNINGSRETT;World Wide Minerals AS;934178289;Godkjent;2004-08-23;2004-09-07;Sølv;3334;Flesberg;33;Buskerud;POLYGON ((9.52081584047014 59.8158035527759,9.52972521114843 59.8157266617512,9.5295719640469 59.8112395347054,9.52066379257895 59.8113164078305,9.52081584047014 59.8158035527759))
0001/2006-FB;Nussir 1;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.2223253866873 70.4655072721432,24.243809798938 70.4680051643667,24.2468484110301 70.4651027314598,24.2253666761624 70.4626052137569,24.2223253866873 70.4655072721432))
0002/2006-FB;Nussir 2;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.2006880901854 70.4637233540307,24.2223253866873 70.4655072721432,24.2253666761624 70.4626052137569,24.2032011746014 70.4606852176293,24.2006880901854 70.4637233540307))
0003/2006-FB;Nussir 3;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.1789629630828 70.4607264986466,24.2006880901854 70.4637233540307,24.2032011746014 70.4606852176293,24.1825451911622 70.4578272665881,24.1789629630828 70.4607264986466))
0004/2006-FB;Nussir 4;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.1583361079137 70.4571488381381,24.1789629630828 70.4607264986466,24.1825451911622 70.4578272665881,24.1627204990812 70.4543428570037,24.1583361079137 70.4571488381381))
0005/2006-FB;Nussir 5;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.1383856312078 70.4535716096438,24.1583361079137 70.4571488381381,24.1627204990812 70.4543428570037,24.1426365626449 70.4508103751169,24.1383856312078 70.4535716096438))
0006/2006-FB;Nussir 6;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.1264174223563 70.4514600693063,24.1383856312078 70.4535716096438,24.1426365626449 70.4508103751169,24.1308033093374 70.448699688418,24.1264174223563 70.4514600693063))
0007/2006-FB;Nussir 7;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.1058808650929 70.4494902215817,24.1264174223563 70.4514600693063,24.1308033093374 70.448699688418,24.1084046029555 70.446498238093,24.1058808650929 70.4494902215817))
0008/2006-FB;Nussir 8;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.0917390547216 70.4483529847627,24.1058808650929 70.4494902215817,24.1084046029555 70.446498238093,24.0918653959571 70.4451265787461,24.0917390547216 70.4483529847627))
0009/2006-FB;Nussir 9;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.0756827357928 70.4482817392717,24.0917390547216 70.4483529847627,24.0918811837665 70.444723272231,24.0758277255544 70.444652041631,24.0756827357928 70.4482817392717))
0010/2006-FB;Nussir 10;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.0601617430957 70.448211520827,24.0756827357928 70.4482817392717,24.0758402512847 70.4443383594638,24.0603222621628 70.4442681560041,24.0601617430957 70.448211520827))
0011/2006-FB;Nussir 11;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.0600157296995 70.4517964553645,24.0733982881093 70.4518570651116,24.0735419024195 70.4482721326968,24.0601617430957 70.448211520827,24.0600157296995 70.4517964553645))
0012/2006-FB;Nussir 12;UTVINNINGSRETT;Nussir ASA;937917376;Godkjent;2005-10-14;2006-06-15;Kobber;5603;Hammerfest - Hámmerfeasta;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((24.05131819029 70.4549835675857,24.067379739532 70.4550569482164,24.0675099725601 70.4518305138015,24.051450965925 70.451757142803,24.05131819029 70.4549835675857))
0013/2006-VB;Tellnes 1;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.4022084084833 58.3381780683872,6.41074621493033 58.3383341622562,6.41112782161844 58.3338441081619,6.40259108364237 58.3336880466139,6.4022084084833 58.3381780683872))
0014/2006-VB;Tellnes 2;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.41074621493033 58.3383341622562,6.4192840193858 58.3384897178765,6.4196645612426 58.3339996236553,6.41112782161844 58.3338441081619,6.41074621493033 58.3383341622562))
0015/2006-VB;Tellnes 3;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.4192840193858 58.3384897178765,6.42782190248898 58.338644706352,6.42820138685521 58.3341545815658,6.4196645612426 58.3339996236553,6.4192840193858 58.3384897178765))
0016/2006-VB;Tellnes 4;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.39367016110333 58.3379765508373,6.4022084084833 58.3381780683872,6.40259108364237 58.3336880466139,6.39405393374375 58.3334865474302,6.39367016110333 58.3379765508373))
0017/2006-VB;Tellnes 5;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.40259108364237 58.3336880466139,6.41112782161844 58.3338441081619,6.41133865196087 58.3293545300431,6.40280299103934 58.329198480428,6.40259108364237 58.3336880466139))
0018/2006-VB;Tellnes 6;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.41112782161844 58.3338441081619,6.4196645612426 58.3339996236553,6.41987432498041 58.3295100221868,6.41133865196087 58.3293545300431,6.41112782161844 58.3338441081619))
0019/2006-VB;Tellnes 7;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.4196645612426 58.3339996236553,6.42820138685521 58.3341545815658,6.428410077331 58.3296649554564,6.41987432498041 58.3295100221868,6.4196645612426 58.3339996236553))
0020/2006-VB;Tellnes 8;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.42820138685521 58.3341545815658,6.43673825653546 58.3343089662328,6.43694591687577 58.3298193272282,6.428410077331 58.3296649554564,6.42820138685521 58.3341545815658))
0021/2006-VB;Tellnes 9;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.41133865196087 58.3293545300431,6.41987432498041 58.3295100221868,6.4201693592787 58.3250201750811,6.41163477069036 58.3248647020219,6.41133865196087 58.3293545300431))
0022/2006-VB;Tellnes 10;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.41987432498041 58.3295100221868,6.428410077331 58.3296649554564,6.4287040673515 58.3251750927344,6.4201693592787 58.3250201750811,6.41987432498041 58.3295100221868))
0023/2006-VB;Tellnes 11;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.428410077331 58.3296649554564,6.43694591687577 58.3298193272282,6.43723882218161 58.3253294372214,6.4287040673515 58.3251750927344,6.428410077331 58.3296649554564))
0024/2006-VB;Tellnes 12;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.43694591687577 58.3298193272282,6.44548179470717 58.3299731246258,6.44577365026504 58.3254832115567,6.43723882218161 58.3253294372214,6.43694591687577 58.3298193272282))
0025/2006-VB;Tellnes 13;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.41163477069036 58.3248647020219,6.4201693592787 58.3250201750811,6.4205496397472 58.3205300819108,6.41201611789706 58.3203746264564,6.41163477069036 58.3248647020219))
0026/2006-VB;Tellnes 14;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.4201693592787 58.3250201750811,6.4287040673515 58.3251750927344,6.42908326251976 58.3206849762355,6.4205496397472 58.3205300819108,6.4201693592787 58.3250201750811))
0027/2006-VB;Tellnes 15;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.4287040673515 58.3251750927344,6.43723882218161 58.3253294372214,6.43761693080131 58.3208392949587,6.42908326251976 58.3206849762355,6.4287040673515 58.3251750927344))
0028/2006-VB;Tellnes 16;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.43723882218161 58.3253294372214,6.44577365026504 58.3254832115567,6.4461506665031 58.3209930462746,6.43761693080131 58.3208392949587,6.43723882218161 58.3253294372214))
0029/2006-VB;Tellnes 17;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.4205496397472 58.3205300819108,6.42908326251976 58.3206849762355,6.42937704356898 58.3161951071167,6.42084452002512 58.3160402274695,6.4205496397472 58.3205300819108))
0030/2006-VB;Tellnes 18;UTVINNINGSRETT;Titania A/S;916769318;Godkjent;2006-06-20;2006-08-16;Jern,Titan;1111;Sokndal;11;Rogaland;POLYGON ((6.42908326251976 58.3206849762355,6.43761693080131 58.3208392949587,6.43790961775625 58.3163494093288,6.42937704356898 58.3161951071167,6.42908326251976 58.3206849762355))
0001/2007-VB;Knaben 1;UTVINNINGSRETT;Knaben Molybden AS;989186833;Godkjent;2006-12-09;2007-03-19;Molybden;4226,4227;Hægebostad,Kvinesdal;42;Agder;POLYGON ((7.07157298025534 58.6477337625437,7.08190522644073 58.6476517842666,7.08182616029898 58.6449589312106,7.07149470985793 58.645040914941,7.07157298025534 58.6477337625437))
0002/2007-VB;Knaben 2;UTVINNINGSRETT;Knaben Molybden AS;989186833;Godkjent;2006-12-09;2007-03-19;Molybden;4226,4227;Hægebostad,Kvinesdal;42;Agder;POLYGON ((7.07170347390371 58.6522218450981,7.08203703190475 58.6521398636604,7.08190522644073 58.6476517842666,7.07157298025534 58.6477337625437,7.07170347390371 58.6522218450981))
0003/2007-VB;Knaben 3;UTVINNINGSRETT;Knaben Molybden AS;989186833;Godkjent;2006-12-09;2007-03-19;Molybden;4227;Kvinesdal;42;Agder;POLYGON ((7.07183401547222 58.6567099071005,7.08216889555379 58.6566279216983,7.08203703190475 58.6521398636604,7.07170347390371 58.6522218450981,7.07183401547222 58.6567099071005))
0004/2007-VB;Knaben 4;UTVINNINGSRETT;Knaben Molybden AS;989186833;Godkjent;2006-12-09;2007-03-19;Molybden;4227;Kvinesdal;42;Agder;POLYGON ((7.07497933850797 58.6611741032062,7.08230081486802 58.6611159294848,7.08216889555379 58.6566279216983,7.07484836154531 58.6566860801273,7.07497933850797 58.6611741032062))
0001/2008-NB;Bindal 1;UTVINNINGSRETT;Bindal Gruver AS;950456485;Godkjent;2007-10-04;2008-10-15;Gull;1811;Bindal;18;Nordland - Nordlánnda;POLYGON ((12.8000286464907 65.1698972934411,12.8049080826273 65.171633027217,12.8152700986308 65.1665042116124,12.8103910278674 65.1647598614724,12.8000286464907 65.1698972934411))
0001-1/2010;Rugdevollen 1;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.8976841614372 58.5224871994098,7.90798097054098 58.5225261546258,7.90804232978781 58.5180374594288,7.89774685875586 58.5179985132977,7.8976841614372 58.5224871994098))
0002-1/2010;Rugdevollen 2;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.88992335346005 58.5251506507147,7.90708601758108 58.5252161565142,7.90712290263305 58.5225229406127,7.88996156872248 58.5224574387271,7.88992335346005 58.5251506507147))
0003-1/2010;Rugdevollen 3;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.88988514526515 58.5278438652793,7.90704913683442 58.527909377667,7.90708601758108 58.5252161565142,7.88992335346005 58.5251506507147,7.88988514526515 58.5278438652793))
0004-1/2010;Rugdevollen 4;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.88212903205768 58.5300579767232,7.90272712773358 58.5301375682322,7.90275813529571 58.5278932168222,7.88216136156056 58.5278136312415,7.88212903205768 58.5300579767232))
0005-1/2010;Rugdevollen 5;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.88123840491262 58.5322989368683,7.9018378126757 58.5323786712457,7.90186887264722 58.5301343184059,7.88127077926803 58.5300545883499,7.88123840491262 58.5322989368683))
0006-1/2010;Rugdevollen 6;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.87424080902532 58.5412490225559,7.87939193257515 58.5412695393565,7.87952179063457 58.5322921426037,7.87437195130221 58.5322716222519,7.87424080902532 58.5412490225559))
0007-1/2010;Rugdevollen 7;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.87939193257515 58.5412695393565,7.88454306949845 58.541289851692,7.88467163501662 58.5323124564757,7.87952179063457 58.5322921426037,7.87939193257515 58.5412695393565))
0008-1/2010;Rugdevollen 8;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.88454306949845 58.541289851692,7.889694217113 58.5413099585733,7.88982148374617 58.5323325632821,7.88467163501662 58.5323124564757,7.88454306949845 58.541289851692))
0009-1/2010;Rugdevollen 9;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.889694217113 58.5413099585733,7.89484537352089 58.5413298592455,7.89497133647017 58.5323524625298,7.88982148374617 58.5323325632821,7.889694217113 58.5413099585733))
0010-1/2010;Rugdevollen 10;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.89484537352089 58.5413298592455,7.89999653634394 58.5413495774192,7.90012119300341 58.5323721537827,7.89497133647017 58.5323524625298,7.89484537352089 58.5413298592455))
0011-1/2010;Rugdevollen 11;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4218;Iveland;42;Agder;POLYGON ((7.87420671633746 58.5435831518219,7.89395404283972 58.5436606875113,7.89398684690492 58.5413265568132,7.87424080902532 58.5412490225559,7.87420671633746 58.5435831518219))
0012-1/2010;Rugdevollen 12;UTVINNINGSRETT;Norse Minerals AS;990857938;Godkjent;2009-08-05;2010-06-22;Ng,Ta;4219,4218;Evje og Hornnes,Iveland;42;Agder;POLYGON ((7.88135085983689 58.5483249640849,7.89113997044264 58.5483632292796,7.89120657894152 58.5436500808307,7.88141876220513 58.5436118184953,7.88135085983689 58.5483249640849))
0001-1/2012;Biddjovagge 1;UTVINNINGSRETT;Arctic Gold AB;;Godkjent;2010-12-23;2011-08-31;Gull;5612;Guovdageaidnu - Kautokeino;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((22.454775464641 69.3242586348129,22.4694897806086 69.3241344629746,22.4684554560235 69.3088940186408,22.453751488031 69.3090180908572,22.454775464641 69.3242586348129))
0002-1/2012;Biddjovagge 2;UTVINNINGSRETT;Arctic Gold AB;;Godkjent;2010-12-23;2011-08-31;Gull;5612;Guovdageaidnu - Kautokeino;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((22.4785041998009 69.3074629837077,22.492446465518 69.3073433681255,22.4913660708565 69.2916548066293,22.4774338890699 69.2917743234913,22.4785041998009 69.3074629837077))
0003-1/2012;Biddjovagge 3;UTVINNINGSRETT;Arctic Gold AB;;Godkjent;2010-12-23;2011-08-31;Gull;5612;Guovdageaidnu - Kautokeino;56;Finnmark - Finnmárku - Finmarkku;POLYGON ((22.4774338890699 69.2917743234913,22.4983320998282 69.2915946276724,22.4975887729506 69.2808367699379,22.4767009206046 69.2810163641023,22.4774338890699 69.2917743234913))
